x_gyroscope,y_gyroscope,z_gyroscope,x_accelerometer,y_accelerometer,z_accelerometer,user
0.02651908307952448,0.06043696830650115,-0.1057304442900796,-0.14772749692549506,-0.36464584835542735,-0.007889900308789,0hz8270
0.06382872893410554,0.15907050608643714,-0.09130957715560518,-0.19392070078983542,-0.37078040934050693,0.012568147080118108,0hz8270
0.09108442275787332,0.2170187261188867,-0.10157656495415245,-0.1878966440216498,-0.3679072605247101,0.019635022493951104,0hz8270
0.06407855702850887,0.1623592091628625,-0.09189289572035837,-0.2243566557277863,-0.33985245992567525,-0.052518889349562725,0hz8270
0.028442158014828682,0.09525677335935107,-0.09348988535569734,-0.16699658680626345,-0.36687558932830433,-0.014647367867375416,0hz8270
0.01841645886028817,0.034438205894825324,-0.08552439804028211,-0.0051099258830570315,-0.1544289755394087,-0.0017760010891155753,0hz8270
0.04151522117444681,0.12089306026742577,-0.09065542474505701,-0.0358747048804067,-0.34727383659659433,-0.015105291493140438,0hz8270
0.047840545276753174,0.1781839817905796,-0.0926611385830529,-0.10203410563144086,-0.2448388707083033,0.12579904578617446,0hz8270
-0.028656466417776347,0.1492604312209286,-0.05814665548266655,-0.12810327706057598,-0.3569027677630484,-0.10291524081213366,0hz8270
0.10434485698829393,0.19809622992061265,-0.09780978151770651,-0.1836745430989695,-0.3536746353097787,0.0067884083441110965,0hz8270
0.1398137433830086,0.13159464700124388,-0.1963940776448706,-0.22339648947434187,-0.31440457041433245,-0.05904120693816173,0hz8270
0.18176306279721682,0.25564825101585414,0.03850930909376987,-0.21178242369637704,-0.3607854012979089,0.037234141300379386,0hz8270
0.05919751244387266,0.0019543141036591077,-0.052106225497242364,-0.18377976679797708,-0.3760607909479172,0.030315781657064722,0hz8270
0.039644329489553334,0.5764939236901414,0.030048077089359734,-0.16361627547564403,-0.3533418381496478,-0.05051392644756458,0hz8270
-0.0033258521679840267,-0.19112817685925754,-0.12461702569880523,-0.20663961540738013,-0.350845859448666,-0.0029393746248429498,0hz8270
-0.0028460544310143637,-0.08361540295210623,-0.14491507293972317,-0.2016151837797668,-0.3581230240168617,0.021850382737516938,0hz8270
0.10335205968636219,0.08974083284234718,-0.10500010860267378,-0.18717323109097248,-0.35157801320095394,-0.023063261530083645,0hz8270
0.029329398561727938,0.1459289569604164,-0.08765268763486855,-0.17615104861992545,-0.34482223085029673,-0.030674694769150745,0hz8270
0.017275193006767685,0.10136909429293087,-0.08534938863612065,-0.17574330678627095,-0.33134394586499527,-0.0500931317644292,0hz8270
